JournalTitle	JrId	NlmId	IsoAbbr	MedAbbr	ISSN (Print)	ISSN (Online)
Bailliere's best practice & research. Clinical endocrinology & metabolism	21804	100957144	Baillieres Best Pract Res Clin Endocrinol Metab	Baillieres Best Pract Res Clin Endocrinol Metab		1532-1908
Cultural diversity & ethnic minority psychology	21805	100956435	Cultur Divers Ethnic Minor Psychol	Cultur Divers Ethnic Minor Psychol	1099-9809	
Acta paediatrica Taiwanica = Taiwan er ke yi xue hui za zhi	21806	100958202	Acta Paediatr Taiwan	Acta Paediatr Taiwan	1608-8115	
Medycyna wieku rozwojowego	21807	100928610	Med Wieku Rozwoj	Med Wieku Rozwoj		
AIDS & public policy journal	21809	8708548	AIDS Public Policy J	AIDS Public Policy J	0887-3852	
Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi	21810	100956211	J Microbiol Immunol Infect	J Microbiol Immunol Infect	1684-1182	1995-9133
Zhonghua shen jing ke za zhi = Chinese journal of neurology	21811	9616315	Zhonghua Shen Jing Ge Za Zhi	Zhonghua Shen Jing Ge Za Zhi	1006-7876	
Issue Brief (Public Policy Institute (American Association of Retired Persons))	21812	100898603	Issue Brief (Public Policy Inst (Am Assoc Retired Pers))	Issue Brief (Public Policy Inst (Am Assoc Retired Pers))	1063-3189	
Journal of physiological anthropology and applied human science	21814	100930389	J Physiol Anthropol Appl Human Sci	J Physiol Anthropol Appl Human Sci	1345-3475	1347-5355
The Kaohsiung journal of medical sciences	21816	100960562	Kaohsiung J. Med. Sci.	Kaohsiung J Med Sci	1607-551X	
Journal of toxicology and environmental health. Part A	21817	100960995	J. Toxicol. Environ. Health Part A	J Toxicol Environ Health A	1528-7394	
Early pregnancy (Online)	21819	100940263	Early Pregnancy	Early Pregnancy		1537-6583
Journal of acquired immune deficiency syndromes (1999)	21821	100892005	J. Acquir. Immune Defic. Syndr.	J Acquir Immune Defic Syndr	1525-4135	1944-7884
Clinical & experimental ophthalmology	21822	100896531	Clin. Experiment. Ophthalmol.	Clin Experiment Ophthalmol	1442-6404	1442-9071
Progress in transplantation (Aliso Viejo, Calif.)	21823	100909380	Prog Transplant	Prog Transplant	1526-9248	
Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology	21824	100959175	Neurol. Sci.	Neurol Sci	1590-1874	1590-3478
Current gastroenterology reports	21830	100888896	Curr Gastroenterol Rep	Curr Gastroenterol Rep	1522-8037	1534-312X
Current hypertension reports	21831	100888982	Curr. Hypertens. Rep.	Curr Hypertens Rep	1522-6417	1534-3111
Current cardiology reports	21832	100888969	Curr Cardiol Rep	Curr Cardiol Rep	1523-3782	1534-3170
Current review of pain	21833	9438797	Curr Rev Pain	Curr Rev Pain	1069-5850	
Journal of motor behavior	21834	0236512	J Mot Behav	J Mot Behav	0022-2895	1940-1027
International journal of hygiene and environmental health	21835	100898843	Int J Hyg Environ Health	Int J Hyg Environ Health	1438-4639	1618-131X
Journal of medical biography	21837	9308895	J Med Biogr	J Med Biogr	0967-7720	1758-1087
Current drug metabolism	21839	100960533	Curr. Drug Metab.	Curr Drug Metab	1389-2002	1875-5453
Optometry (St. Louis, Mo.)	21840	100912421	Optometry	Optometry	1529-1839	1558-1527
International maritime health	21841	100958373	Int Marit Health	Int Marit Health	1641-9251	2081-3252
Food research international (Ottawa, Ont.)	21844	9210143	Food Res. Int.	Food Res Int	0963-9969	1873-7145
Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver	21845	100958385	Dig Liver Dis	Dig Liver Dis	1590-8658	1878-3562
Physician performance & payment report	21847	100927887	Physician Perform Paym Rep	Physician Perform Paym Rep	1528-7378	
Ai zheng = Aizheng = Chinese journal of cancer	21852	9424852	Ai Zheng	Ai Zheng		
BMC bioinformatics	21854	100965194	BMC Bioinformatics	BMC Bioinformatics		1471-2105
BMC genomics	21855	100965258	BMC Genomics	BMC Genomics		1471-2164
BMC biochemistry	21856	101084098	BMC Biochem.	BMC Biochem		1471-2091
Genome informatics. Workshop on Genome Informatics	21857	9717234	Genome Inform Ser Workshop Genome Inform	Genome Inform Ser Workshop Genome Inform		
Breast cancer (Tokyo, Japan)	21858	100888201	Breast Cancer	Breast Cancer	1340-6868	1880-4233
Contemporary topics in laboratory animal science / American Association for Laboratory Animal Science	21859	9204153	Contemp Top Lab Anim Sci	Contemp Top Lab Anim Sci	1060-0558	
Journal of health, population, and nutrition	21860	100959228	J Health Popul Nutr	J Health Popul Nutr	1606-0997	2072-1315
Healthcare foodservice magazine : the international trade publication for the healthcare foodservice industry	21861	100954799	Healthc Foodserv Mag	Healthc Foodserv Mag		
Clinical resource management	21862	100955437	Clin Resour Manag	Clin Resour Manag		
British journal of perioperative nursing : the journal of the National Association of Theatre Nurses	21863	100935999	Br J Perioper Nurs	Br J Perioper Nurs	1467-1026	
Autonomic neuroscience : basic & clinical	21869	100909359	Auton Neurosci	Auton Neurosci	1566-0702	1872-7484
Doklady biophysics : proceedings of the Academy of Sciences of the USSR, Biophysics section / translated from Russian	21870	7505460	Dokl Biophys	Dokl Biophys	0012-4974	
The plant pathology journal	21871	100966769	Plant Pathol. J.	Plant Pathol J	1598-2254	2093-9280
The heart surgery forum	21872	100891112	Heart Surg Forum	Heart Surg Forum	1098-3511	1522-6662
Current infectious disease reports	21873	100888983	Curr Infect Dis Rep	Curr Infect Dis Rep	1523-3847	1534-3146
Current interventional cardiology reports	21874	100888981	Curr Interv Cardiol Rep	Curr Interv Cardiol Rep	1523-3839	1534-3103
Current treatment options in cardiovascular medicine	21875	9815942	Curr Treat Options Cardiovasc Med	Curr Treat Options Cardiovasc Med	1092-8464	1534-3189
Current treatment options in gastroenterology	21876	9815941	Curr Treat Options Gastroenterol	Curr Treat Options Gastroenterol	1092-8472	1534-309X
Current treatment options in neurology	21877	9815940	Curr Treat Options Neurol	Curr Treat Options Neurol	1092-8480	1534-3138
Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft	21878	100963897	Ann. Anat.	Ann Anat	0940-9602	1618-0402
International journal of palliative nursing	21879	9506762	Int J Palliat Nurs	Int J Palliat Nurs	1357-6321	
BMC genetics	21880	100966978	BMC Genet.	BMC Genet		1471-2156
BMC family practice	21881	100967792	BMC Fam Pract	BMC Fam Pract		1471-2296
BMC nephrology	21882	100967793	BMC Nephrol	BMC Nephrol		1471-2369
Arthritis research	21883	100913255	Arthritis Res.	Arthritis Res	1465-9905	1465-9913
Breast cancer research : BCR	21884	100927353	Breast Cancer Res.	Breast Cancer Res	1465-5411	1465-542X
The Nautilus	21885	9890221	Nautilus	Nautilus (Philadelphia)	0028-1344	
Critical care (London, England)	21886	9801902	Crit Care	Crit Care	1364-8535	1466-609X
BMC molecular biology	21887	100966983	BMC Mol. Biol.	BMC Mol Biol		1471-2199
Comparative biochemistry and physiology. Toxicology & pharmacology : CBP	21888	100959500	Comp. Biochem. Physiol. C Toxicol. Pharmacol.	Comp Biochem Physiol C Toxicol Pharmacol	1532-0456	
Expert opinion on investigational drugs	21889	9434197	Expert Opin Investig Drugs	Expert Opin Investig Drugs	1354-3784	1744-7658
Mitteilungen der Osterreichischen Gesellschaft fur Tropenmedizin und Parasitologie	21890	9438996	Mitt. Osterr. Ges. Trop.med. Parasitol.	Mitt Osterr Ges Tropenmed Parasitol	1026-4906	
Seminars in musculoskeletal radiology	21891	9717520	Semin Musculoskelet Radiol	Semin Musculoskelet Radiol	1089-7860	1098-898X
Advances in skin & wound care	21892	100911021	Adv Skin Wound Care	Adv Skin Wound Care	1527-7941	1538-8654
Nursing New Zealand	21893	9313253	Nurs N Z	Nurs N Z	1172-1979	
Traffic (Copenhagen, Denmark)	21894	100939340	Traffic	Traffic	1398-9219	1600-0854
Cancer journal (Sudbury, Mass.)	21896	100931981	Cancer J	Cancer J	1528-9117	1540-336X
Issue brief (Health Policy Tracking Service)	21897	9812946	Issue Brief Health Policy Track Serv	Issue Brief Health Policy Track Serv		
Genome biology	21904	100960660	Genome Biol.	Genome Biol	1474-7596	1474-760X
Canadian journal of nursing leadership	21905	100888575	Can J Nurs Leadersh	Can J Nurs Leadersh	1481-9643	
ALTEX	21906	100953980	ALTEX	ALTEX	1868-596X	
Alternatives to laboratory animals : ATLA	21907	8110074	Altern Lab Anim	Altern Lab Anim	0261-1929	
Briefings in bioinformatics	21908	100912837	Brief. Bioinformatics	Brief Bioinform	1467-5463	1477-4054
Hand surgery : an international journal devoted to hand and upper limb surgery and related research : journal of the Asia-Pacific Federation of Societies for Surgery of the Hand	21909	9602613	Hand Surg	Hand Surg	0218-8104	1793-6535
Online journal of issues in nursing	21910	9806525	Online J Issues Nurs	Online J Issues Nurs		1091-3734
Organisms, diversity & evolution	21911	100971802	Org. Divers. Evol.	Org Divers Evol	1439-6092	1618-1077
Medical science monitor : international medical journal of experimental and clinical research	21912	9609063	Med. Sci. Monit.	Med Sci Monit	1234-1010	1643-3750
Telemedicine journal and e-health : the official journal of the American Telemedicine Association	21916	100959949	Telemed J E Health	Telemed J E Health	1530-5627	1556-3669
The Canadian journal of urology	21917	9515842	Can J Urol	Can J Urol	1195-9479	
BMC cell biology	21920	100966972	BMC Cell Biol.	BMC Cell Biol		1471-2121
BMC medical genetics	21921	100968552	BMC Med. Genet.	BMC Med Genet		1471-2350
Current atherosclerosis reports	21922	100897685	Curr Atheroscler Rep	Curr Atheroscler Rep	1523-3804	1534-6242
Current rheumatology reports	21923	100888970	Curr Rheumatol Rep	Curr Rheumatol Rep	1523-3774	1534-6307
British journal of community nursing	21924	9815827	Br J Community Nurs	Br J Community Nurs	1462-4753	
Dynamics (Pembroke, Ont.)	21925	100955578	Dynamics	Dynamics	1497-3715	
Novon : a journal for botanical nomenclature / Missouri Botanical Garden	21926	101082802	Novon St. Louis Mo.	Novon (St Louis)	1055-3177	
Current oncology reports	21927	100888967	Curr Oncol Rep	Curr Oncol Rep	1523-3790	1534-6269
Current psychiatry reports	21928	100888960	Curr Psychiatry Rep	Curr Psychiatry Rep	1523-3812	1535-1645
The health care manager	21929	100896672	Health Care Manag (Frederick)	Health Care Manag (Frederick)	1525-5794	1550-512X
Heart failure reviews	21930	9612481	Heart Fail Rev	Heart Fail Rev	1382-4147	1573-7322
ILAR journal / National Research Council, Institute of Laboratory Animal Resources	21931	9516416	ILAR J	ILAR J	1084-2020	1930-6180
Disease management advisor	21932	100961635	Dis Manag Advis	Dis Manag Advis	1531-5681	
Conservation genetics (Print)	21933	101083179	Conserv. Genet.	Conserv Genet	1566-0621	1572-9737
Healthcare hazard management monitor : HHMM : the newsletter of the Center for Healthcare Environmental Management	21934	100955103	Healthc Hazard Manage Monit	Healthc Hazard Manage Monit	1532-3633	
Saudi medical journal	21935	7909441	Saudi Med J	Saudi Med J	0379-5284	
Archivos de la Sociedad Espanola de Oftalmologia	21936	1304603	Arch Soc Esp Oftalmol	Arch Soc Esp Oftalmol	0365-6691	1989-7286
Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists	21937	9607439	Endocr Pract	Endocr Pract	1530-891X	1934-2403
Western North American naturalist / Brigham Young University	21940	101083979	West. N. Am. Nat.		1527-0904	
Physical review. B, Condensed matter and materials physics	21941	100927390	Phys. Rev. B Condens. Matter Mater. Phys.	Phys Rev B Condens Matter Mater Phys	1098-0121	
Journal of Alzheimer's disease : JAD	21942	9814863	J. Alzheimers Dis.	J Alzheimers Dis	1387-2877	1875-8908
International biodeterioration & biodegradation	21943	9300892	Int. Biodeterior. Biodegradation	Int Biodeterior Biodegradation	0964-8305	
Waste management (New York, N.Y.)	21944	9884362	Waste Manag	Waste Manag	0956-053X	1879-2456
Healthcare leadership & management report	21945	100958264	Healthc Leadersh Manag Rep	Healthc Leadersh Manag Rep	1533-2292	
Urologiia (Moscow, Russia : 1999)	21946	100900900	Urologiia	Urologiia	1728-2985	
BMC neuroscience	21947	100966986	BMC Neurosci	BMC Neurosci		1471-2202
Inorganic chemistry	21948	0366543	Inorg Chem	Inorg Chem	0020-1669	1520-510X
Biologist (London, England)	21949	9108399	Biologist (London)	Biologist (London)	0006-3347	
Occasional papers (Texas Tech University. Museum)	21951	101084563	Occas. Pap. Tex. Tech. Univ. Mus.	Occas Pap Tex Tech Univ Mus	0149-175X	
Journal of life science	21952	101084577	J. Life Sci.		1229-1552	
Pathogenesis : the journal of mechanisms in disease processes	21953	9815970	Pathogenesis	Pathogenesis (Amst)	1024-5359	1607-8535
Focus MDA : the official publication of the Missouri Dental Association	21954	9815833	Focus MDA	Focus MDA		
States of health	21955	100966540	States Health	States Health	1524-4830	
The Body positive	21958	9887196	Body Posit	Body Posit	1048-4396	
Teaching and learning in medicine	21959	8910884	Teach Learn Med	Teach Learn Med	1040-1334	1532-8015
Journal of applied measurement	21965	101084377	J Appl Meas	J Appl Meas	1529-7713	
FEMS yeast research	21966	101085384	FEMS Yeast Res.	FEMS Yeast Res	1567-1356	1567-1364
Acta neurochirurgica. Supplement	21967	100962752	Acta Neurochir. Suppl.	Acta Neurochir Suppl	0065-1419	
Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc	21970	9607443	Ann Noninvasive Electrocardiol	Ann Noninvasive Electrocardiol	1082-720X	1542-474X
Zoologischer Anzeiger	21971	0031351	Zool. Anz.	Zool Anz	0044-5231	
Reproduction (Cambridge, England)	21973	100966036	Reproduction	Reproduction	1470-1626	1741-7899
BMC gastroenterology	21974	100968547	BMC Gastroenterol	BMC Gastroenterol		1471-230X
BMC developmental biology	21975	100966973	BMC Dev. Biol.	BMC Dev Biol		1471-213X
The international journal of neuropsychopharmacology / official scientific journal of the Collegium Internationale Neuropsychopharmacologicum (CINP)	21976	9815893	Int. J. Neuropsychopharmacol.	Int J Neuropsychopharmacol	1461-1457	1469-5111
Seminars in reproductive medicine	21981	100909394	Semin. Reprod. Med.	Semin Reprod Med	1526-8004	1526-4564
Journal of the International Association of Physicians in AIDS Care	21983	9508185	J Int Assoc Physicians AIDS Care	J Int Assoc Physicians AIDS Care	1081-454X	
Supplements to Clinical neurophysiology	21984	100967410	Suppl Clin Neurophysiol	Suppl Clin Neurophysiol	1567-424X	
Pest management science	21986	100898744	Pest Manag. Sci.	Pest Manag Sci	1526-498X	1526-4998
Experimental biology and medicine (Maywood, N.J.)	21987	100973463	Exp. Biol. Med. (Maywood)	Exp Biol Med (Maywood)	1535-3702	1535-3699
ANZ journal of surgery	21988	101086634	ANZ J Surg	ANZ J Surg	1445-1433	1445-2197
Trends in parasitology	21990	100966034	Trends Parasitol.	Trends Parasitol	1471-4922	1471-5007
BMC neurology	21991	100968555	BMC Neurol	BMC Neurol		1471-2377
BMC microbiology	21992	100966981	BMC Microbiol.	BMC Microbiol		1471-2180
BMC public health	21993	100968562	BMC Public Health	BMC Public Health		1471-2458
Molecular ecology notes	21996	101087335	Mol. Ecol. Notes	Mol Ecol Notes	1471-8278	1471-8286
Asian journal of andrology	22000	100942132	Asian J. Androl.	Asian J Androl	1008-682X	1745-7262
Continuum (Society for Social Work Leadership in Health Care)	22001	100962178	Continuum Soc Soc Work Leadersh Health Care	Continuum Soc Soc Work Leadersh Health Care		
Environmental pollution (Barking, Essex : 1987)	22002	8804476	Environ. Pollut.	Environ Pollut	0269-7491	1873-6424
Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology	22003	100883649	Europace	Europace	1099-5129	1532-2092
Journal of environmental radioactivity	22004	8508119	J Environ Radioact	J Environ Radioact	0265-931X	1879-1700
Psychological science	22005	9007542	Psychol Sci	Psychol Sci	0956-7976	1467-9280
BMC infectious diseases	22006	100968551	BMC Infect. Dis.	BMC Infect Dis		1471-2334
Clinical leadership & management review : the journal of CLMA	22007	100900959	Clin Leadersh Manag Rev	Clin Leadersh Manag Rev	1527-3954	1553-7072
Diabetes, obesity & metabolism	22008	100883645	Diabetes Obes Metab	Diabetes Obes Metab	1462-8902	1463-1326
Fresenius' journal of analytical chemistry	22009	9114077	Fresenius J Anal Chem	Fresenius J Anal Chem	0937-0633	1432-1130
Annali di chimica	22010	7610375	Ann Chim	Ann Chim	0003-4592	
Antioxidants & redox signaling	22011	100888899	Antioxid. Redox Signal.	Antioxid Redox Signal	1523-0864	1557-7716
Child maltreatment	22012	9602869	Child Maltreat	Child Maltreat	1077-5595	1552-6119
